Biopsy,ROI1 Number of Detections,ROI2 Number of Detections,ROI1 Area (μm^2),ROI2 Area(μm^2),ROI1 Density,ROI2 Density
2389,344,1183,184407.586,31368.219,0.001865433,0.03771333
2390,1449,1831,795751.238,1130666.048,0.001820921,0.001619399
2439,198,240,84616.652,218167.1,0.002339965,0.001100074
2487,493,543,486963.816,164212.267,0.001012396,0.003306696
2533,970,740,543223.785,387381.562,0.001785636,0.001910261
2538,285,149,230597.453,195142.119,0.00123592,0.000763546
2567,1464,1499,407060.598,302656.566,0.003682498,0.004952808
2589,2775,668,562102.96,121103.138,0.004936818,0.005515959
2594,988,413,799396.542,299772.732,0.001235932,0.00137771
2619,209,129,196337.672,130256.556,0.001064493,0.000990353
2655,220,167,393299.499,91950.833,0.00055937,0.001816188
2732,383,97,329124.53,143649.285,0.001163693,0.000675256
2750,367,634,171552.101,202001.707,0.002139292,0.003138587
2782,236,327,205381.333,297513.524,0.001149082,0.00109911
2787,284,304,308851.016,294686.688,0.000919537,0.001031604
2857,932,1323,203306.074,459047.811,0.004584221,0.002882053
2905,419,153,273647.935,117661.567,0.001531164,0.00130034
2908,371,237,250955.052,207975.229,0.001478352,0.001139559
3064,705,815,157974.715,355156.999,0.004462739,0.00229476
3100,451,196,278423.314,254033.67,0.001619836,0.000771551
3117,193,123,137537.308,59090.103,0.001403256,0.002081567
3139,96,86,229807.719,209662.569,0.000417741,0.000410183
3207,673,906,195826.335,241075.965,0.003436719,0.003758152
3212,873,583,211313.166,175609.112,0.004131309,0.003319873
3258,200,96,30336.316,46609.582,0.006592758,0.002059662
3292,1643,26,500300.489,259863.047,0.003284026,0.000100053
